kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1 11 0 0 0 0 0 0 0 
_1.ptx 98 : 1 3 0 0 0 0 0 0 0 
_1.ptx 102 : 15 330 128 0 0 15 15 0 0 
_1.ptx 103 : 15 105 0 0 0 0 0 0 0 
_1.ptx 104 : 15 165 0 0 0 0 0 0 0 
_1.ptx 105 : 15 3757 1792 0 0 15 15 0 0 
_1.ptx 106 : 15 90 0 0 0 0 0 0 0 
_1.ptx 107 : 15 120 0 0 0 0 0 0 0 
_1.ptx 108 : 15 0 0 0 0 0 0 0 0 
_1.ptx 110 : 15 45 0 0 0 0 0 0 0 
_1.ptx 111 : 15 150 0 0 0 0 0 0 0 
_1.ptx 112 : 15 165 0 0 0 0 0 0 0 
_1.ptx 113 : 15 330 128 0 0 15 15 0 0 
_1.ptx 114 : 15 150 0 0 0 0 0 0 0 
_1.ptx 115 : 15 150 0 0 0 0 0 0 0 
_1.ptx 116 : 15 165 0 0 0 0 0 0 0 
_1.ptx 117 : 15 75 480 0 0 15 15 0 0 
_1.ptx 119 : 15 90 0 0 0 0 0 0 0 
_1.ptx 120 : 15 45 0 0 0 0 0 0 0 
_1.ptx 121 : 15 165 0 0 0 0 0 0 0 
_1.ptx 122 : 15 90 448 0 0 15 15 0 0 
_1.ptx 123 : 15 60 0 0 0 15 15 0 0 
_1.ptx 124 : 15 60 0 0 0 15 15 0 0 
_1.ptx 125 : 15 165 0 0 0 0 0 0 0 
_1.ptx 128 : 15 150 0 0 0 0 0 0 0 
_1.ptx 129 : 15 150 0 0 0 0 0 0 0 
_1.ptx 130 : 15 120 0 0 0 0 0 0 0 
_1.ptx 131 : 15 84 0 0 0 0 0 0 0 
_1.ptx 135 : 32256 206720 0 0 0 0 0 0 0 
_1.ptx 151 : 32256 212224 0 0 0 0 0 0 0 
_1.ptx 152 : 32256 538624 0 0 0 0 0 0 0 
_1.ptx 153 : 32256 228544 0 0 0 0 0 0 0 
_1.ptx 154 : 32256 381504 0 0 0 0 0 0 0 
_1.ptx 155 : 32256 98496 0 0 0 0 0 0 0 
_1.ptx 156 : 32256 269216 0 0 0 0 0 0 0 
_1.ptx 157 : 32256 1600 0 0 0 0 0 0 0 
_1.ptx 158 : 32000 248256 0 0 0 0 0 0 0 
_1.ptx 159 : 32000 100608 0 0 0 0 0 0 0 
_1.ptx 160 : 32000 354592 0 0 0 0 0 0 0 
_1.ptx 161 : 32000 8449120 30208 0 0 1000 1000 0 0 
_1.ptx 162 : 32000 193248 0 0 0 0 0 0 0 
_1.ptx 163 : 32000 260704 0 0 0 0 0 0 0 
_1.ptx 164 : 32000 197702 0 0 0 0 0 0 15 
_1.ptx 67 : 32256 215904 0 0 0 0 0 0 0 
_1.ptx 68 : 32256 522240 0 0 0 0 0 0 0 
_1.ptx 166 : 15 90 0 0 0 0 0 0 0 
_1.ptx 69 : 32256 228544 0 0 0 0 0 0 0 
_1.ptx 167 : 15 45 0 0 0 0 0 0 0 
_1.ptx 70 : 32256 383072 0 0 0 0 0 0 0 
_1.ptx 168 : 15 165 0 0 0 0 0 0 0 
_1.ptx 71 : 32256 4112608 128 0 0 0 0 0 0 
_1.ptx 169 : 15 75 0 0 0 15 15 0 0 
_1.ptx 72 : 32256 271264 0 0 0 0 0 0 0 
_1.ptx 73 : 32256 1536 0 0 0 0 0 0 0 
_1.ptx 171 : 15 90 0 0 0 0 0 0 0 
_1.ptx 74 : 32000 249632 0 0 0 0 0 0 0 
_1.ptx 172 : 15 45 0 0 0 0 0 0 0 
_1.ptx 75 : 32000 106176 0 0 0 0 0 0 0 
_1.ptx 173 : 15 165 0 0 0 0 0 0 0 
_1.ptx 76 : 32000 359648 0 0 0 0 0 0 0 
_1.ptx 174 : 15 75 0 0 0 15 15 0 0 
_1.ptx 77 : 32000 8470304 32000 0 0 1000 1000 0 0 
_1.ptx 78 : 32000 202176 0 0 0 0 0 0 0 
_1.ptx 176 : 15 90 0 0 0 0 0 0 0 
_1.ptx 79 : 32000 260960 0 0 0 0 0 0 0 
_1.ptx 177 : 15 45 0 0 0 0 0 0 0 
_1.ptx 80 : 32000 199994 0 0 0 0 0 0 1 
_1.ptx 178 : 15 77 128 0 0 15 15 0 0 
_1.ptx 82 : 1 6 0 0 0 0 0 0 0 
_1.ptx 180 : 15 90 0 0 0 0 0 0 0 
_1.ptx 83 : 1 5 0 0 0 1 1 0 0 
_1.ptx 181 : 15 78 0 0 0 15 15 0 0 
_1.ptx 85 : 1 3 0 0 0 0 0 0 0 
_1.ptx 86 : 1 10 0 0 0 0 0 0 0 
_1.ptx 87 : 1 11 0 0 0 0 0 0 0 
_1.ptx 185 : 32256 206592 0 0 0 0 0 0 0 
_1.ptx 88 : 1 275 128 0 0 1 1 0 0 
_1.ptx 89 : 1 7 0 0 0 0 0 0 0 
_1.ptx 90 : 1 4 0 0 0 1 1 0 0 
_1.ptx 91 : 1 11 0 0 0 0 0 0 0 
_1.ptx 92 : 1 8 0 0 0 0 0 0 0 
_1.ptx 93 : 1 0 0 0 0 0 0 0 0 
_1.ptx 94 : 1 3 0 0 0 0 0 0 0 
_1.ptx 95 : 1 7 0 0 0 0 0 0 0 
_1.ptx 96 : 1 10 0 0 0 0 0 0 0 
