kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 1 12 0 0 0 0 0 0 0 
_1.ptx 98 : 1 3 0 0 0 0 0 0 0 
_1.ptx 102 : 15 330 128 0 0 15 15 0 0 
_1.ptx 103 : 15 105 0 0 0 0 0 0 0 
_1.ptx 104 : 15 165 0 0 0 0 0 0 0 
_1.ptx 105 : 15 3759 1792 0 0 15 15 0 0 
_1.ptx 106 : 15 90 0 0 0 0 0 0 0 
_1.ptx 107 : 15 120 0 0 0 0 0 0 0 
_1.ptx 108 : 15 0 0 0 0 0 0 0 0 
_1.ptx 110 : 15 45 0 0 0 0 0 0 0 
_1.ptx 111 : 15 150 0 0 0 0 0 0 0 
_1.ptx 112 : 15 165 0 0 0 0 0 0 0 
_1.ptx 113 : 15 330 128 0 0 15 15 0 0 
_1.ptx 114 : 15 150 0 0 0 0 0 0 0 
_1.ptx 115 : 15 150 0 0 0 0 0 0 0 
_1.ptx 116 : 15 165 0 0 0 0 0 0 0 
_1.ptx 117 : 15 75 480 0 0 15 15 0 0 
_1.ptx 119 : 15 90 0 0 0 0 0 0 0 
_1.ptx 120 : 15 45 0 0 0 0 0 0 0 
_1.ptx 121 : 15 165 0 0 0 0 0 0 0 
_1.ptx 122 : 15 90 448 0 0 15 15 0 0 
_1.ptx 123 : 15 60 0 0 0 15 15 0 0 
_1.ptx 124 : 15 60 0 0 0 15 15 0 0 
_1.ptx 125 : 15 165 0 0 0 0 0 0 0 
_1.ptx 128 : 15 150 0 0 0 0 0 0 0 
_1.ptx 129 : 15 150 0 0 0 0 0 0 0 
_1.ptx 130 : 15 120 0 0 0 0 0 0 0 
_1.ptx 131 : 15 84 0 0 0 0 0 0 0 
_1.ptx 135 : 32256 200992 0 0 0 0 0 0 0 
_1.ptx 151 : 32256 206368 0 0 0 0 0 0 0 
_1.ptx 152 : 32256 394048 0 0 0 0 0 0 0 
_1.ptx 153 : 32256 209312 0 0 0 0 0 0 0 
_1.ptx 154 : 32256 361184 0 0 0 0 0 0 0 
_1.ptx 155 : 32256 97760 0 0 0 0 0 0 0 
_1.ptx 156 : 32256 264704 0 0 0 0 0 0 0 
_1.ptx 157 : 32256 1536 0 0 0 0 0 0 0 
_1.ptx 158 : 32000 233344 0 0 0 0 0 0 0 
_1.ptx 159 : 32000 98176 0 0 0 0 0 0 0 
_1.ptx 160 : 32000 355328 0 0 0 0 0 0 0 
_1.ptx 161 : 32000 8172576 30208 0 0 1000 1000 0 0 
_1.ptx 162 : 32000 195296 0 0 0 0 0 0 0 
_1.ptx 163 : 32000 258304 0 0 0 0 0 0 0 
_1.ptx 164 : 32000 197414 0 0 0 0 0 0 15 
_1.ptx 67 : 32256 205216 0 0 0 0 0 0 0 
_1.ptx 68 : 32256 396192 0 0 0 0 0 0 0 
_1.ptx 166 : 15 90 0 0 0 0 0 0 0 
_1.ptx 69 : 32256 204992 0 0 0 0 0 0 0 
_1.ptx 167 : 15 45 0 0 0 0 0 0 0 
_1.ptx 70 : 32256 360544 0 0 0 0 0 0 0 
_1.ptx 168 : 15 166 0 0 0 0 0 0 0 
_1.ptx 71 : 32256 2105696 128 0 0 0 0 0 0 
_1.ptx 169 : 15 75 0 0 0 15 15 0 0 
_1.ptx 72 : 32256 264960 0 0 0 0 0 0 0 
_1.ptx 73 : 32256 1536 0 0 0 0 0 0 0 
_1.ptx 171 : 15 90 0 0 0 0 0 0 0 
_1.ptx 74 : 32000 240448 0 0 0 0 0 0 0 
_1.ptx 172 : 15 47 0 0 0 0 0 0 0 
_1.ptx 75 : 32000 99936 0 0 0 0 0 0 0 
_1.ptx 173 : 15 166 0 0 0 0 0 0 0 
_1.ptx 76 : 32000 356576 0 0 0 0 0 0 0 
_1.ptx 174 : 15 75 0 0 0 15 15 0 0 
_1.ptx 77 : 32000 8397824 32000 0 0 1000 1000 0 0 
_1.ptx 78 : 32000 200704 0 0 0 0 0 0 0 
_1.ptx 176 : 15 90 0 0 0 0 0 0 0 
_1.ptx 79 : 32000 260224 0 0 0 0 0 0 0 
_1.ptx 177 : 15 47 0 0 0 0 0 0 0 
_1.ptx 80 : 32000 198746 0 0 0 0 0 0 1 
_1.ptx 178 : 15 77 128 0 0 15 15 0 0 
_1.ptx 82 : 1 6 0 0 0 0 0 0 0 
_1.ptx 180 : 15 90 0 0 0 0 0 0 0 
_1.ptx 83 : 1 5 0 0 0 1 1 0 0 
_1.ptx 181 : 15 77 0 0 0 15 15 0 0 
_1.ptx 85 : 1 3 0 0 0 0 0 0 0 
_1.ptx 86 : 1 10 0 0 0 0 0 0 0 
_1.ptx 87 : 1 13 0 0 0 0 0 0 0 
_1.ptx 185 : 32256 198944 0 0 0 0 0 0 0 
_1.ptx 88 : 1 276 128 0 0 1 1 0 0 
_1.ptx 89 : 1 7 0 0 0 0 0 0 0 
_1.ptx 90 : 1 4 0 0 0 1 1 0 0 
_1.ptx 91 : 1 11 0 0 0 0 0 0 0 
_1.ptx 92 : 1 8 0 0 0 0 0 0 0 
_1.ptx 93 : 1 0 0 0 0 0 0 0 0 
_1.ptx 94 : 1 3 0 0 0 0 0 0 0 
_1.ptx 95 : 1 9 0 0 0 0 0 0 0 
_1.ptx 96 : 1 10 0 0 0 0 0 0 0 
