kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 9 0 0 0 0 0 0 0 0 
_1.ptx 98 : 9 27 0 0 0 0 0 0 0 
_1.ptx 99 : 9 71 0 0 0 0 0 0 0 
_1.ptx 100 : 9 99 0 0 0 0 0 0 0 
_1.ptx 101 : 9 101 0 0 0 0 0 0 0 
_1.ptx 105 : 64 3558 1536 0 0 64 64 0 0 
_1.ptx 106 : 64 448 0 0 0 0 0 0 0 
_1.ptx 107 : 64 704 0 0 0 0 0 0 0 
_1.ptx 108 : 64 15595 6656 0 0 64 64 0 0 
_1.ptx 109 : 64 384 0 0 0 0 0 0 0 
_1.ptx 110 : 64 512 0 0 0 0 0 0 0 
_1.ptx 111 : 64 48 0 0 0 0 0 0 0 
_1.ptx 113 : 56 168 0 0 0 0 0 0 0 
_1.ptx 114 : 56 560 0 0 0 0 0 0 0 
_1.ptx 115 : 56 616 0 0 0 0 0 0 0 
_1.ptx 116 : 56 1663 128 0 0 56 56 0 0 
_1.ptx 117 : 56 560 0 0 0 0 0 0 0 
_1.ptx 118 : 56 560 0 0 0 0 0 0 0 
_1.ptx 119 : 56 616 0 0 0 0 0 0 0 
_1.ptx 120 : 56 280 1728 0 0 56 56 0 0 
_1.ptx 122 : 56 336 0 0 0 0 0 0 0 
_1.ptx 123 : 56 616 0 0 0 0 0 0 0 
_1.ptx 124 : 56 280 0 0 0 56 56 0 0 
_1.ptx 126 : 56 336 0 0 0 0 0 0 0 
_1.ptx 127 : 56 168 0 0 0 0 0 0 0 
_1.ptx 128 : 56 329 32 0 0 56 56 0 0 
_1.ptx 129 : 56 224 0 0 0 56 56 0 0 
_1.ptx 130 : 56 224 0 0 0 56 56 0 0 
_1.ptx 131 : 56 617 0 0 0 0 0 0 0 
_1.ptx 134 : 64 640 0 0 0 0 0 0 0 
_1.ptx 135 : 64 640 0 0 0 0 0 0 0 
_1.ptx 136 : 64 512 0 0 0 0 0 0 0 
_1.ptx 137 : 64 331 0 0 0 0 0 0 0 
_1.ptx 141 : 131072 844000 0 0 0 0 0 0 0 
_1.ptx 66 : 131072 899584 0 0 0 0 0 0 0 
_1.ptx 67 : 131072 2230976 0 0 0 0 0 0 0 
_1.ptx 68 : 131072 1053056 0 0 0 0 0 0 0 
_1.ptx 69 : 131072 1575904 0 0 0 0 0 0 0 
_1.ptx 70 : 131072 4859936 128 0 0 0 0 0 0 
_1.ptx 71 : 131072 1101728 0 0 0 0 0 0 0 
_1.ptx 72 : 131072 0 0 0 0 0 0 0 0 
_1.ptx 73 : 131072 1021568 0 0 0 0 0 0 0 
_1.ptx 74 : 131072 432736 0 0 0 0 0 0 0 
_1.ptx 75 : 131072 1470176 0 0 0 0 0 0 0 
_1.ptx 76 : 131072 28367680 65536 0 0 4096 4096 0 0 
_1.ptx 77 : 131072 823776 0 0 0 0 0 0 0 
_1.ptx 78 : 131072 1090016 0 0 0 0 0 0 0 
_1.ptx 79 : 131072 865510 0 0 0 0 0 0 9 
_1.ptx 81 : 9 64 0 0 0 0 0 0 0 
_1.ptx 82 : 9 46 0 0 0 9 9 0 0 
_1.ptx 84 : 9 27 0 0 0 0 0 0 0 
_1.ptx 85 : 9 58 0 0 0 0 0 0 0 
_1.ptx 86 : 9 101 0 0 0 0 0 0 0 
_1.ptx 87 : 9 46 32 0 0 9 9 0 0 
_1.ptx 89 : 9 28 0 0 0 0 0 0 0 
_1.ptx 90 : 9 110 0 0 0 0 0 0 0 
_1.ptx 91 : 9 100 0 0 0 0 0 0 0 
_1.ptx 92 : 9 2506 1152 0 0 9 9 0 0 
_1.ptx 93 : 9 67 0 0 0 0 0 0 0 
_1.ptx 94 : 9 36 0 0 0 9 9 0 0 
_1.ptx 95 : 9 101 0 0 0 0 0 0 0 
_1.ptx 96 : 9 73 0 0 0 0 0 0 0 
