kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 398 : 64 704 0 0 0 0 0 0 0 
_1.ptx 399 : 64 9664 0 0 0 2 2 0 0 
_1.ptx 400 : 64 384 0 0 0 0 0 0 0 
_1.ptx 402 : 192 1152 0 0 0 0 0 0 0 
_1.ptx 405 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 406 : 256 1568 0 0 0 0 0 0 0 
_1.ptx 407 : 256 1792 0 0 0 0 0 0 0 
_1.ptx 408 : 256 2784 0 0 0 0 0 0 0 
_1.ptx 409 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 410 : 256 1600 0 0 0 0 0 0 0 
_1.ptx 411 : 256 1312 0 8 8 0 0 0 0 
_1.ptx 413 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 415 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 417 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 418 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 420 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 421 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 422 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 423 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 425 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 426 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 428 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 429 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 430 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 431 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 433 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 434 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 436 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 437 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 438 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 439 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 441 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 442 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 444 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 445 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 446 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 447 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 449 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 450 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 452 : 256 2112 0 8 8 0 0 0 0 
_1.ptx 453 : 256 2848 0 0 0 0 0 0 0 
_1.ptx 254 : 16384 521376 128 0 0 0 0 0 0 
_1.ptx 454 : 256 1312 0 8 8 0 0 0 0 
_1.ptx 255 : 16384 116640 0 0 0 0 0 0 0 
_1.ptx 455 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 256 : 16384 98496 0 0 0 0 0 0 0 
_1.ptx 257 : 16384 131648 0 0 0 0 0 0 0 
_1.ptx 457 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 258 : 16384 181152 0 0 0 0 0 0 0 
_1.ptx 458 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 259 : 16384 115968 0 0 0 0 0 0 0 
_1.ptx 260 : 16384 98464 0 0 0 0 0 0 0 
_1.ptx 460 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 261 : 16384 2522592 0 0 0 0 0 0 0 
_1.ptx 461 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 262 : 16384 98336 0 0 0 0 0 0 0 
_1.ptx 462 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 263 : 16384 185440 0 0 0 0 0 0 0 
_1.ptx 463 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 264 : 16384 167200 0 0 0 0 0 0 0 
_1.ptx 265 : 16384 98400 0 0 0 0 0 0 0 
_1.ptx 465 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 266 : 16384 180832 0 0 0 0 0 0 0 
_1.ptx 466 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 267 : 16384 115104 0 0 0 0 0 0 0 
_1.ptx 268 : 16384 164032 0 0 0 0 0 0 0 
_1.ptx 468 : 256 2144 0 8 8 0 0 0 0 
_1.ptx 269 : 16384 132000 0 0 0 0 0 0 0 
_1.ptx 469 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 270 : 16384 166624 0 0 0 0 0 0 0 
_1.ptx 470 : 256 1376 0 8 8 0 0 0 0 
_1.ptx 271 : 16384 180640 0 0 0 0 0 0 0 
_1.ptx 471 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 272 : 16384 148992 0 0 0 0 0 0 0 
_1.ptx 273 : 16384 132416 0 0 0 0 0 0 0 
_1.ptx 473 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 274 : 16384 0 0 0 0 0 0 0 0 
_1.ptx 474 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 275 : 16384 181120 0 0 0 0 0 0 0 
_1.ptx 276 : 16384 164544 0 0 0 0 0 0 0 
_1.ptx 476 : 256 2080 0 8 8 0 0 0 0 
_1.ptx 277 : 16384 115840 0 0 0 0 0 0 0 
_1.ptx 477 : 256 2816 0 0 0 0 0 0 0 
_1.ptx 278 : 16384 98496 0 0 0 0 0 0 0 
_1.ptx 478 : 256 1280 0 8 8 0 0 0 0 
_1.ptx 279 : 16384 131616 0 0 0 0 0 0 0 
_1.ptx 479 : 256 1536 0 0 0 0 0 0 0 
_1.ptx 280 : 16384 181088 0 0 0 0 0 0 0 
_1.ptx 281 : 16384 115488 0 0 0 0 0 0 0 
_1.ptx 481 : 256 2048 0 8 8 0 0 0 0 
_1.ptx 282 : 16384 49536 0 0 0 0 0 0 0 
_1.ptx 283 : 16384 114944 0 0 0 0 0 0 0 
_1.ptx 483 : 256 1152 0 0 0 0 0 0 0 
_1.ptx 284 : 16384 165248 0 0 0 0 0 0 0 
_1.ptx 285 : 16384 181888 0 0 0 0 0 0 0 
_1.ptx 485 : 64 224 0 0 0 0 0 0 0 
_1.ptx 286 : 16384 98912 0 0 0 0 0 0 0 
_1.ptx 486 : 64 448 0 0 0 0 0 0 0 
_1.ptx 287 : 16384 116512 0 0 0 0 0 0 0 
_1.ptx 487 : 64 672 0 0 0 0 0 0 0 
_1.ptx 488 : 64 704 0 0 0 0 0 0 0 
_1.ptx 489 : 64 320 0 0 0 2 2 0 0 
_1.ptx 291 : 262144 69820096 1048576 0 0 8192 8192 0 0 
_1.ptx 292 : 262144 2888256 0 0 0 0 0 0 0 
